id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit
3M0lSi5WW79CXQamgSBIjx,Swim,['Chase Atlantic'],228787,10/4/17,2017,0.27,0.666,0.542,0.0,0.0765,-6.429,0.0392,120.134,0.0771,1,8,69,0
3CgZCQyuyxHRMWB9BTwmni,Swim Good,['Frank Ocean'],257187,1/1/11,2011,0.00116,0.653,0.668,0.00269,0.0731,-8.183,0.0881,160.048,0.711,1,0,66,0
1MnMLFF901psWuu3O6NVUe,Swim Until You Can't See Land,['Frightened Rabbit'],259279,3/1/10,2010,0.0438,0.347,0.874,0.0,0.116,-4.323,0.0351,81.035,0.571,1,7,42,0
3h1iu4HvBlLqRuft2kJEcr,Swim and Sleep (Like a Shark),['Unknown Mortal Orchestra'],165227,2/5/13,2013,0.124,0.766,0.806,0.171,0.119,-10.011,0.0403,123.509,0.76,1,8,58,0
2PoqubfYq2Cl0nUyrrTht6,Swimming In The Moonlight,['Bad Suns'],221280,9/16/16,2016,0.0322,0.662,0.904,0.00068,0.279,-4.611,0.0472,129.945,0.696,0,1,54,0
7v3qGVvKf986nhPIkPsRbR,Swimming Pool,['The Front Bottoms'],216947,9/6/11,2011,0.289,0.569,0.844,0.0,0.349,-4.859,0.121,134.804,0.59,1,4,43,0
7frWizM5FgJkaUl1rXhVtO,Swimming Pools (Drank),['Kendrick Lamar'],248467,1/1/12,2012,0.00529,0.699,0.459,0.000546,0.0818,-5.79,0.211,74.014,0.201,1,1,51,0
6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),['Kendrick Lamar'],247800,1/1/12,2012,0.00627,0.577,0.447,0.00022,0.0899,-5.892,0.277,74.236,0.189,1,8,72,1
3DFjTEueCBYqg7YE05eUJP,Swimming Pools (Drank) - Extended Version,['Kendrick Lamar'],313787,2012,2012,0.123,0.716,0.485,2.69e-05,0.604,-7.745,0.404,74.132,0.26,1,1,53,1
5ujh1I7NZH5agbwf7Hp8Hc,Swimming Pools (Drank) - Extended Version,['Kendrick Lamar'],313787,2012,2012,0.123,0.716,0.485,2.69e-05,0.604,-7.745,0.404,74.132,0.26,1,1,66,1
